cik,name
1843745,Addison Advisors LLC
1581465,Addison Capital Co
1845950,"ADE, LLC"
1067926,Adelante Capital Management LLC
1134152,ADELL HARRIMAN & CARPENTER INC
2106968,Adelphi Trust Co
2053824,"ADG Wealth Management Group, LLC"
2107623,"Adirondack Capital Advisors, LLC"
1054257,ADIRONDACK TRUST CO
1536029,"Advance Capital Management, Inc."
1075444,Advanced Asset Management Advisors Inc
2488,ADVANCED MICRO DEVICES INC
2009346,Advantage Trust Co
2056686,Advaya LLP
1097278,ADVENT CAPITAL MANAGEMENT /DE/
1034196,"Advent International, L.P."
1103139,ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP
1802516,Adventist Health System/ West
1998980,"AdviceOne Advisory Services, LLC"
1767580,"Advisor OS, LLC"
1820879,Advisor Resource Council
1409362,"AdvisorNet Financial, Inc"
1297376,"Advisors Asset Management, Inc."
1345576,"Advisors Capital Management, LLC"
842766,ADVISORS MANAGEMENT GROUP INC /ADV
1598841,"Advisors Preferred, LLC"
1425930,AdvisorShares Investments LLC
2115523,"ADVISORTRUST PARTNERS, LLC"
2111697,"Advisory Advocates, LLC"
1576762,"Advisory Alpha, LLC"
902584,ADVISORY RESEARCH INC
1764968,Advisory Resource Group
1573876,"Advisory Services Network, LLC"
1569452,"Advocacy Wealth Management, LLC"
1853401,ADVOCATE GROUP LLC
2110509,Advocate Investing Services LLC
2011872,"Advyzon Investment Management, LLC"
1745214,"ADW Capital Management, LLC"
1880785,"AE INDUSTRIAL PARTNERS, LP"
1697723,AE Wealth Management LLC
1140753,AEGIS FINANCIAL CORP
1628818,Aegis Wealth Management LLC
2096565,"Aegis Wealth Management, Inc."
1539994,AEGON ASSET MANAGEMENT UK Plc
1454937,"AEGON USA Investment Management, LLC"
1728201,Aequim Alternative Investments LP
1927705,"Aerodigm Wealth, LLC"
1046187,AEW CAPITAL MANAGEMENT L P
1818044,"AF Advisors, Inc."
1885432,AFBI LP
1723681,"Affiance Financial, LLC"
1773195,"Affinity Asset Advisors, LLC"
1810023,"Affinity Capital Advisors, LLC"
1520601,"AFFINITY INVESTMENT ADVISORS, LLC"
2059583,Affinity Partners GP LP
810672,AFFINITY WEALTH MANAGEMENT LLC
1907820,AFG FIDUCIARY SERVICES LIMITED PARTNERSHIP
4977,Aflac Inc
1512073,"AFT, FORSYTH & COMPANY, INC."
1566801,"Aft, Forsyth & Sober, LLC"
1625008,"AG Asset Advisory, LLC"
2110880,"AG Campbell Advisory, LLC"
2047606,AG2R LA MONDIALE GESTION D'ACTIFS
1900409,"Agate Pass Investment Management, LLC"
2099846,Agave Capital Management Ltd
1003518,AGF MANAGEMENT LTD
2061010,"AGH Wealth Advisors, LLC"
2107832,AGMAN CAPITAL LLC
2056566,"AGP FRANKLIN, LLC"
2116771,Ahara Advisors LLC
1933952,AI-Squared Management Ltd
1522877,AIA Group Ltd
1741224,"Aigen Investment Management, LP"
1835943,AIGH Capital Management LLC
2103725,AIHC Capital Management Ltd
2005403,Aikya Investment Management Ltd
1630365,"AIMZ Investment Advisors, LLC"
1714498,"AIP, LLC"
1908177,"AIRE ADVISORS, LLC"
1766721,Aisling Capital Management LP
1951167,"AJ Advisors, LLC"
1710065,"AJU IB Investment Co., Ltd."
2105908,"AK GLOBAL ASSET MANAGEMENT, LLC"
1376879,AKO CAPITAL LLP
1112520,AKRE CAPITAL MANAGEMENT LLC
1529090,AKUNA SECURITIES LLC
1859677,"Alaethes Wealth, LLC"
1846995,"Alamar Capital Management, LLC"
1727645,Alamea Verwaltungs GmbH
2088424,Alamut Investment Management LLP
1897835,"Alan B Lancz & Associates, Inc."
1426771,"Alaska Permanent Capital Management, LLC"
1582681,Alaska Permanent Fund Corp
1731601,"Alaska Wealth Advisors, LLC"
2034565,Albar Capital Partners LLP
1169318,ALBERT D MASON INC
1463559,Alberta Investment Management Corp
1054677,ALBION FINANCIAL GROUP /UT
2110606,"Alchemi Wealth, LLC"
1842509,"Alcosta Capital Management, Inc."
1448430,"Aldebaran Capital, LLC"
1353110,Aldebaran Financial Inc.
1616882,Alden Global Capital LLC
1484429,Alecta Tjanstepension Omsesidigt
919458,ALERUS FINANCIAL NA
1269978,"Alesco Advisors, LLC, An ESL Co"
2132506,"Alessandra Capital Management, LLC"
1549408,"ALETHEA CAPITAL MANAGEMENT, LLC"
1922281,Aletheian Wealth Advisors LLC
2024333,"ALEXANDER LABRUNERIE & CO., INC."
874816,"Alexander Randolph Advisory, Inc."
2054271,"Alexis Investment Partners, LLC"
1873435,Alfreton Capital LLP
1700286,ALGEBRIS (UK) LTD
1275218,ALGERT GLOBAL LLC
1806628,"Algorithmic Investment Models, LLC"
1802696,Alhambra Investment Management LLC
1577552,Alibaba Group Holding Ltd
1651473,Alight Capital Management LP
2089183,"Align Financial, LLC"
1731260,"Aljian Capital Management, LLC"
1629996,Alken Asset Management Ltd
1230239,ALKEON CAPITAL MANAGEMENT LLC
1731358,"All Terrain Financial Advisors, LLC"
1633603,All-Stars Investment Ltd
1844148,Allegheny Financial Group
1964068,Allegiance Financial Group Advisory Services LLC
1601384,"Allen Capital Group, LLC"
919489,ALLEN HOLDING INC /NY
1326234,"Allen Investment Management, LLC"
2001461,Allen Mooney & Barnes Investment Advisors LLC
1389544,ALLEN OPERATIONS LLC
2012003,"ALLEN WEALTH MANAGEMENT, LLC"
1917618,"Alley Investment Management Company, LLC"
2109849,"Alliance Private Wealth, LLC"
1849724,"Alliance Wealth Advisors, LLC"
1893261,"Alliance Wealth Advisors, LLC /UT"
1623707,Alliance Wealth Management Group
2106763,"Alliance Wealth Strategies, LLC d/b/a Brown Edwards Wealth Strategies"
1109448,ALLIANCEBERNSTEIN L.P.
1535323,Allianz Asset Management GmbH
1127508,Allianz SE
1908612,Allie Family Office LLC
1729869,"Allied Investment Advisors, LLC"
2067277,"ALLIUM FINANCIAL ADVISORS, LLC"
2052983,"Allodium Investment Consultants, LLC"
1765885,"Allred Capital Management, LLC"
1890906,"Allspring Global Investments Holdings, LLC"
899051,ALLSTATE CORP
1555170,Allworth Financial LP
1822947,Ally Bridge Group (NY) LLC
40729,Ally Financial Inc.
1706013,Ally Invest Advisors Inc.
1950054,"ALM First Financial Advisors, LLC"
1680613,"Almanack Investment Partners, LLC."
1596468,Almitas Capital LLC
2062492,AlpenGlobal Capital LLC
2095967,"Alpha Advisors, LLC/VA"
1027694,ALPHA CAPITAL ADVISORS INC /ADV
1568991,Alpha Family Trust
1972138,"Alpha Financial Advisors, LLC"
1966219,Alpha Financial Partners LLC
1665633,Alpha Omega Wealth Management LLC
1558858,"Alpha Wave Global, LP"
2059327,"Alpha Wealth Funds, LLC"
2079032,Alpha Zero LLC
1652044,Alphabet Inc.
1913464,AlphaCentric Advisors LLC
1713662,AlphaCore Capital LLC
1535943,Alphadyne Asset Management LP
1883897,AlphaQuest LLC
1633857,"AlphaStar Capital Management, LLC"
1731012,Alphinity Investment Management Pty Ltd
1396835,ALPINE ASSOCIATES MANAGEMENT INC.
1974910,Alpine Bank Wealth Management
2096493,Alpine Fox Capital LLC
1581655,"Alpine Global Management, LLC"
1964631,Alpine Investment Management Ltd
1906602,"Alpine Peaks Capital, LP"
1226886,"ALPINE WOODS CAPITAL INVESTORS, LLC"
1512910,AlpInvest Partners B.V.
1376113,ALPS ADVISORS INC
1536114,Alta Advisers Ltd
1093589,ALTA CAPITAL MANAGEMENT LLC/
1858353,"ALTA FOX CAPITAL MANAGEMENT, LLC"
1641604,Alta Fundamental Advisers LLC
1621855,"Alta Park Capital, LP"
2054419,"Alta Partners Management Company, L.P."
1843826,Alta Wealth Advisors LLC
1478982,"Altai Capital Management, L.P."
1631014,ALTAROCK PARTNERS LP
2054980,Alteri Wealth LLC
1767699,"ALTERNA WEALTH MANAGEMENT, INC"
2009486,"Alternative Investment Advisors, LLC."
712050,ALTFEST L J & CO INC
1838615,"AlTi Global, Inc."
1541617,"Altimeter Capital Management, LP"
1986156,"Altiora Financial Group, LLC"
1746382,Altium Capital Management LLC
2131949,Altium Investment Strategies LLC
1731671,"Altman Advisors, Inc."
1881755,"ALTOS VENTURES MANAGEMENT, INC."
2110313,Altrafin AG
1740837,"AltraVue Capital, LLC"
1167388,ALTRINSIC GLOBAL ADVISORS LLC
1940646,Altrius Capital Management Inc
1324290,Altshuler Shaham Ltd
1931465,Altura Wealth Advisors Inc.
1842572,Altus Wealth Group LLC
1802107,"Altus Wealth Management, LLC"
1827442,Alua Capital Management LP
2109121,"Alvarez & Marsal Private Wealth Partners, LLC"
1453072,"Alyeska Investment Group, L.P."
1818897,AM INVESTMENT STRATEGIES LLC
919192,AMALGAMATED BANK
2076121,Amanah Holdings Trust
1660773,AMANSA CAPITAL PTE. LTD.
1934965,"AMARA FINANCIAL, LLC."
1053013,AMARILLO NATIONAL BANK
1018724,AMAZON COM INC
1910168,Ameliora Wealth Management Ltd.
1772954,"Ameraudi Asset Management, Inc."
1308778,"America First Investment Advisors, LLC"
6201,American Airlines Group Inc.
2041441,"American Alpha Advisors, LLC"
1569454,AMERICAN ASSET MANAGEMENT INC.
885118,AMERICAN ASSETS INC
